dataset,cantidad_locales,limite_contagio,metodo,tiempo
peor-caso-BT,2,1,BT-O,0.003897
peor-caso-BT,3,2,BT,0.002705
peor-caso-BT,3,2,BT-F,0.002545
peor-caso-BT,3,2,BT-O,0.002905
peor-caso-BT,4,2,BT,0.002184
peor-caso-BT,4,2,BT-F,0.002745
peor-caso-BT,4,2,BT-O,0.002384
peor-caso-BT,5,3,BT,0.002334
peor-caso-BT,5,3,BT-F,0.002445
peor-caso-BT,5,3,BT-O,0.002515
peor-caso-BT,6,3,BT,0.002505
peor-caso-BT,6,3,BT-F,0.003337
peor-caso-BT,6,3,BT-O,0.002445
peor-caso-BT,7,4,BT,0.002505
peor-caso-BT,7,4,BT-F,0.002966
peor-caso-BT,7,4,BT-O,0.002575
peor-caso-BT,8,4,BT,0.002805
peor-caso-BT,8,4,BT-F,0.003627
peor-caso-BT,8,4,BT-O,0.002615
peor-caso-BT,9,5,BT,0.002765
peor-caso-BT,9,5,BT-F,0.003837
peor-caso-BT,9,5,BT-O,0.002775
peor-caso-BT,10,5,BT,0.002134
peor-caso-BT,10,5,BT-F,0.003787
peor-caso-BT,10,5,BT-O,0.003116
peor-caso-BT,11,6,BT,0.002144
peor-caso-BT,11,6,BT-F,0.005411
peor-caso-BT,11,6,BT-O,0.003125
peor-caso-BT,12,6,BT,0.002455
peor-caso-BT,12,6,BT-F,0.007925
peor-caso-BT,12,6,BT-O,0.003075
peor-caso-BT,13,7,BT,0.002716
peor-caso-BT,13,7,BT-F,0.01099
peor-caso-BT,13,7,BT-O,0.002975
peor-caso-BT,14,7,BT,0.002645
peor-caso-BT,14,7,BT-F,0.01559
peor-caso-BT,14,7,BT-O,0.002464
peor-caso-BT,15,8,BT,0.002775
peor-caso-BT,15,8,BT-F,0.026169
peor-caso-BT,15,8,BT-O,0.002635
peor-caso-BT,16,8,BT,0.002555
peor-caso-BT,16,8,BT-F,0.036238
peor-caso-BT,16,8,BT-O,0.002995
peor-caso-BT,17,9,BT,0.002635
peor-caso-BT,17,9,BT-F,0.079119
peor-caso-BT,17,9,BT-O,0.003045
peor-caso-BT,18,9,BT,0.003166
peor-caso-BT,18,9,BT-F,0.075992
peor-caso-BT,18,9,BT-O,0.002936
peor-caso-BT,19,10,BT,0.002886
peor-caso-BT,19,10,BT-F,0.169447
peor-caso-BT,19,10,BT-O,0.002655
peor-caso-BT,20,10,BT,0.002735
peor-caso-BT,20,10,BT-F,0.218109
peor-caso-BT,20,10,BT-O,0.002955
peor-caso-BT,21,11,BT,0.002836
peor-caso-BT,21,11,BT-F,0.397214
peor-caso-BT,21,11,BT-O,0.002946
peor-caso-BT,22,11,BT,0.002735
peor-caso-BT,22,11,BT-F,0.667189
peor-caso-BT,22,11,BT-O,0.003065
peor-caso-BT,23,12,BT,0.003026
peor-caso-BT,23,12,BT-F,1.0435
peor-caso-BT,23,12,BT-O,0.002555
peor-caso-BT,24,12,BT,0.002805
peor-caso-BT,24,12,BT-F,1.02622
peor-caso-BT,24,12,BT-O,0.003567
peor-caso-BT,25,13,BT,0.002404
peor-caso-BT,25,13,BT-F,2.89352
peor-caso-BT,25,13,BT-O,0.002835
peor-caso-BT,26,13,BT,0.003336
peor-caso-BT,26,13,BT-F,4.30816
peor-caso-BT,26,13,BT-O,0.003156
peor-caso-BT,27,14,BT,0.002485
peor-caso-BT,27,14,BT-F,6.44188
peor-caso-BT,27,14,BT-O,0.003156
peor-caso-BT,28,14,BT,0.002836
peor-caso-BT,28,14,BT-F,10.4234
peor-caso-BT,28,14,BT-O,0.003075
